batch	slice	signal_id	signal_type	parent_signal_id	pathway	pathwayLabel	ligand	receptor	senderRegion	receiverRegion	interactionStrength	interactionPValue	edge_rank_within_signal	downstreamTF	tf_rank	rawCorrelation	correlation	tfPValue	tfFDR	direction	tfSelectionMode	clusterResultKey	edgeFilterLabel
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zfp54	1.0	0.18132373882973069	0.18132373882973069	0.00020438681547303174	0.1092103271161684	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zfp955b	2.0	0.17930744740022678	0.17930744740022678	0.0002410823998149413	0.1092103271161684	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zbtb6	3.0	0.16947490164222237	0.16947490164222237	0.0005259780543338408	0.13774493419027975	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zbtb16	4.0	0.16524421528068328	0.16524421528068328	0.0007264757058584871	0.13774493419027975	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zfp458	5.0	0.1638953344829527	0.1638953344829527	0.0008039800626833662	0.13774493419027975	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Zfp24	6.0	0.16220014372829655	0.16220014372829655	0.0009122181072203957	0.13774493419027975	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Fibroblastic	9.765026104310146e-05	0.0	2	Sall2	7.0	0.15404081097461853	0.15404081097461853	0.0016473493040670877	0.21321406706925447	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	PalatalMes	Epithelial	6.885963971378987e-05	0.0	3	Zfp459	1.0	0.16116988935943577	0.16116988935943577	9.673966591002143e-05	0.09509509158955107	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	PalatalMes	Epithelial	6.885963971378987e-05	0.0	3	Rnf114	2.0	0.15235859681739963	0.15235859681739963	0.00023060685315211838	0.11334326832426618	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	PalatalMes	PalatalMes	6.197757596758227e-05	0.0	4									commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
